drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
スクリュードライバー(ウォッカオレンジ),460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
カシスソーダ,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
カシスオレンジ,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
カシスウーロン,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ファジーネーブル(ピーチオレンジ),460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
レゲエパンチ(ピーチウーロン),460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
巨峰カルピス(巨峰酒＋カルピス＋炭酸),460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
ピンクの恋人(いちご酒＋牛乳＋炭酸),460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
赤玉パンチ,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
梅酒,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
巨峰酒,460,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
澪,530,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
豪快(熱燗・冷酒),530,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
［芋］こくいも,430,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
［芋］一刻者,530,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
［麦］こいむぎ,430,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
コカ・コーラ／ジンジャーエール／オレンジジュース／マンゴジュース(ラージサイズ),390,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
カルピス／ピーチネクター／いちごみるく／リンゴソーダ(ラージサイズ),390,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
メロンソーダ／ピーチソーダ／山梨ピオーネソーダ(ラージサイズ),390,居酒屋・和食,赤から鍋とセセリ焼き　赤から梅田NU茶屋町店,大阪府大阪市北区茶屋町10-１2NU茶屋町８F,050-5284-8603,,,https://www.hotpepper.jp/strJ001160309/
