restaurant_name,restaurant_address,restaurant_latitude,restaurant_longitude,restaurant_tel,restaurant_url,drink_name,drink_price
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,≪スコッチ≫　メーカーズマーク,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,ニッカセッション-奏楽- 700ml,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,ブラックニッカハイボール／タカラ焼酎ハイボール／電気ブランハイボール　各種,-
もつ鍋食べ飲み放題居酒屋　もつぞう　３時間食べ飲み放題２７２８円　梅田店,大阪府大阪市北区太融寺町8-17　プラザ梅田ビル４Ｆ　※1Fセブンイレブン左隣の自動扉より4F,34.7016977,135.5022882,050-5280-9506,https://www.hotpepper.jp/strJ001267327/,ビール,-
焼鳥食べ飲み個室居酒屋　絆鳥 ～KIZUNADORI～ ３時間食べ飲み放題２７２８円　梅田店,大阪府大阪市北区太融寺町8-17　プラザ梅田ビル３Ｆ　※新御堂筋側ビル正面入口(1F東梅田薬局が目印)から3F,34.7016977,135.5022882,050-5280-9489,https://www.hotpepper.jp/strJ001267334/,ビール,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,刈穂,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,ばくれん,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,不動,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,来福,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,陸奥男山,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,上喜元,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,秋鹿,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,ゆきの美人,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,貴,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,三千盛,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,宝剣,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,鳳凰美田,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,手取川,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,王録,-
個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,34.7026933,135.5009244,050-5449-0359,https://www.hotpepper.jp/strJ001227126/,南,-
